 #  ,  Seconds
 1  ,  .153
 2  ,  .199
 3  ,  .152
 4  ,  .193
 5  ,  .148
 6  ,  .193
 7  ,  .147
 8  ,  .133
 9  ,  .243
 10  ,  .141
 11  ,  .199
 12  ,  .134
 13  ,  .134
 14  ,  .293
 15  ,  .145
 16  ,  .134
 17  ,  .239
 18  ,  .136
 19  ,  .134
 20  ,  .262
 21  ,  .139
 22  ,  .134
 23  ,  .268
 24  ,  .140
 25  ,  .203
 26  ,  .146
 27  ,  .133
 28  ,  .243
 29  ,  .135
 30  ,  .133
 31  ,  .284
 32  ,  .143
 33  ,  .134
 34  ,  .259
 35  ,  .141
 36  ,  .190
 37  ,  .134
 38  ,  .134
 39  ,  .308
 40  ,  .133
 41  ,  .194
 42  ,  .152
 43  ,  .192
 44  ,  .133
 45  ,  .223
 46  ,  .134
 47  ,  .197
 48  ,  .134
 49  ,  .134
 50  ,  .308
 51  ,  .140
 52  ,  .155
 53  ,  .214
 54  ,  .134
 55  ,  .206
 56  ,  .135
 57  ,  .201
 58  ,  .133
 59  ,  .219
 60  ,  .134
 61  ,  .193
 62  ,  .153
 63  ,  .191
 64  ,  .159
 65  ,  .182
 66  ,  .168
 67  ,  .133
 68  ,  .232
 69  ,  .140
 70  ,  .190
 71  ,  .156
 72  ,  .183
 73  ,  .133
 74  ,  .134
 75  ,  .276
 76  ,  .140
 77  ,  .194
 78  ,  .151
 79  ,  .188
 80  ,  .133
 81  ,  .226
 82  ,  .142
 83  ,  .188
 84  ,  .163
 85  ,  .170
 86  ,  .134
 87  ,  .238
 88  ,  .138
 89  ,  .190
 90  ,  .159
 91  ,  .133
 92  ,  .143
 93  ,  .274
 94  ,  .134
 95  ,  .202
 96  ,  .143
 97  ,  .202
 98  ,  .141
 99  ,  .134
 100  ,  .260
 101  ,  .134
 102  ,  .203
 103  ,  .147
 104  ,  .134
 105  ,  .263
 106  ,  .140
 107  ,  .190
 108  ,  .151
 109  ,  .195
 110  ,  .144
 111  ,  .198
 112  ,  .132
 113  ,  .232
 114  ,  .138
 115  ,  .174
 116  ,  .188
 117  ,  .163
 118  ,  .183
 119  ,  .132
 120  ,  .134
 121  ,  .307
 122  ,  .134
 123  ,  .193
 124  ,  .148
 125  ,  .133
 126  ,  .240
 127  ,  .140
 128  ,  .193
 129  ,  .132
 130  ,  .171
 131  ,  .156
 132  ,  .134
 133  ,  .275
 134  ,  .140
 135  ,  .188
 136  ,  .164
 137  ,  .177
 138  ,  .133
 139  ,  .228
 140  ,  .135
 141  ,  .133
 142  ,  .266
 143  ,  .134
 144  ,  .204
 145  ,  .151
 146  ,  .179
 147  ,  .164
 148  ,  .185
 149  ,  .150
 150  ,  .193
 151  ,  .132
 152  ,  .220
 153  ,  .140
 154  ,  .191
 155  ,  .169
 156  ,  .172
 157  ,  .133
 158  ,  .216
 159  ,  .134
 160  ,  .191
 161  ,  .150
 162  ,  .194
 163  ,  .142
 164  ,  .194
 165  ,  .151
 166  ,  .187
 167  ,  .165
 168  ,  .179
 169  ,  .155
 170  ,  .195
 171  ,  .132
 172  ,  .226
 173  ,  .136
 174  ,  .194
 175  ,  .150
 176  ,  .193
 177  ,  .148
 178  ,  .136
 179  ,  .221
 180  ,  .162
 181  ,  .180
 182  ,  .133
 183  ,  .134
 184  ,  .315
 185  ,  .141
 186  ,  .197
 187  ,  .145
 188  ,  .200
 189  ,  .158
 190  ,  .188
 191  ,  .144
 192  ,  .209
 193  ,  .140
 194  ,  .196
 195  ,  .165
 196  ,  .182
 197  ,  .161
 198  ,  .176
 199  ,  .174
 200  ,  .160
 201  ,  .189
 202  ,  .131
 203  ,  .134
 204  ,  .266
 205  ,  .138
 206  ,  .135
 207  ,  .270
 208  ,  .138
 209  ,  .182
 210  ,  .164
 211  ,  .177
 212  ,  .174
 213  ,  .172
 214  ,  .173
 215  ,  .157
 216  ,  .180
 217  ,  .174
 218  ,  .133
 219  ,  .133
 220  ,  .312
 221  ,  .138
 222  ,  .197
 223  ,  .148
 224  ,  .195
 225  ,  .145
 226  ,  .186
 227  ,  .162
 228  ,  .187
 229  ,  .133
 230  ,  .134
 231  ,  .154
 232  ,  .267
 233  ,  .138
 234  ,  .210
 235  ,  .133
 236  ,  .133
 237  ,  .237
 238  ,  .138
 239  ,  .199
 240  ,  .131
 241  ,  .226
 242  ,  .138
 243  ,  .195
 244  ,  .148
 245  ,  .189
 246  ,  .155
 247  ,  .183
 248  ,  .162
 249  ,  .178
 250  ,  .165
 251  ,  .171
 252  ,  .171
 253  ,  .133
 254  ,  .245
 255  ,  .137
 256  ,  .205
 257  ,  .134
 258  ,  .133
 259  ,  .143
 260  ,  .276
 261  ,  .133
 262  ,  .134
 263  ,  .252
 264  ,  .138
 265  ,  .192
 266  ,  .150
 267  ,  .187
 268  ,  .135
 269  ,  .133
 270  ,  .288
 271  ,  .137
 272  ,  .132
 273  ,  .133
 274  ,  .221
 275  ,  .245
 276  ,  .137
 277  ,  .133
 278  ,  .264
 279  ,  .137
 280  ,  .134
 281  ,  .243
 282  ,  .133
 283  ,  .208
 284  ,  .134
 285  ,  .194
 286  ,  .151
 287  ,  .189
 288  ,  .154
 289  ,  .197
 290  ,  .133
 291  ,  .213
 292  ,  .133
 293  ,  .134
 294  ,  .148
 295  ,  .168
 296  ,  .270
 297  ,  .133
 298  ,  .180
 299  ,  .181
 300  ,  .161
 301  ,  .181
 302  ,  .163
 303  ,  .173
 304  ,  .167
 305  ,  .180
 306  ,  .164
 307  ,  .186
 308  ,  .161
 309  ,  .174
 310  ,  .168
 311  ,  .172
 312  ,  .173
 313  ,  .174
 314  ,  .171
 315  ,  .133
 316  ,  .134
 317  ,  .292
 318  ,  .140
 319  ,  .194
 320  ,  .153
 321  ,  .183
 322  ,  .134
 323  ,  .234
 324  ,  .138
 325  ,  .134
 326  ,  .247
 327  ,  .138
 328  ,  .133
 329  ,  .246
 330  ,  .141
 331  ,  .192
 332  ,  .151
 333  ,  .183
 334  ,  .163
 335  ,  .173
 336  ,  .177
 337  ,  .168
 338  ,  .174
 339  ,  .167
 340  ,  .183
 341  ,  .152
 342  ,  .175
 343  ,  .173
 344  ,  .173
 345  ,  .177
 346  ,  .162
 347  ,  .169
 348  ,  .179
 349  ,  .165
 350  ,  .133
 351  ,  .247
 352  ,  .140
 353  ,  .198
 354  ,  .132
